U matrix:
0.84625 0.55411 0.56371 
0.69967 0.99871 0.77025 
0.77859 0.78097 0.93499 
0.32273 0.11615 0.13231 
0.69790 0.66543 0.56323 
1.21544 1.20499 0.91227 
0.54415 0.51813 0.76411 
0.70441 0.73846 0.83793 
0.36698 0.44880 0.42955 
0.95143 1.22579 1.17206 
0.54122 0.73158 0.55195 
0.45629 0.42303 0.28935 
0.62987 0.90994 0.64947 
0.95510 1.08465 0.99580 
0.49329 0.39450 0.62194 
0.39247 0.44907 0.47331 
0.96772 0.99041 0.92089 
0.87636 0.74725 0.95941 
1.02310 1.00385 1.19168 
0.42440 0.41639 0.33310 
0.69051 0.83472 0.67152 
0.31245 0.49556 0.50287 
0.56414 0.42216 0.55476 
0.44338 0.18737 0.33022 
0.60591 0.61336 0.86713 
0.07975 0.31010 0.21478 
0.77545 0.89831 0.96944 
0.21747 0.18145 0.41866 
0.24698 0.35477 0.40498 
0.75764 0.80540 0.55505 
0.41165 0.34910 0.51682 
